ID,Why_Stopped,Enrollment_Count,Primary_Outcome_Measure
20-30638,,20,"Composite of pharmacokinetics of co-administration of rosuvastatin and eltrombopag in healthy volunteers., Composite of pharmacokinetics of co-administration of rosuvastatin and eltrombopag in healthy volunteers."
R.20.11.1099,,75,"Sensitivity of ultrasonographical tattooing, Identification benefit of the ultrasonographical tattooing."
IRB00074154,,50,Number of Pathologic Complete Response (pCR) in Vitamin D Supplementation Group
SMC 2021-05-045,,500,"Change of cosmesis from baseline, Change of cosmesis from baseline, Change of cosmesis from baseline, Change of cosmesis from baseline, Change of cosmesis from baseline, Change of cosmesis from baseline, Change of fibrosis from baseline, Change of fibrosis from baseline, Change of fibrosis from baseline, Change of fibrosis from baseline, Change of fibrosis from baseline, Change of fibrosis from baseline, Change of patient-reported outcome from baseline, Change of patient-reported outcome from baseline, Change of patient-reported outcome from baseline, Change of patient-reported outcome from baseline, Change of patient-reported outcome from baseline, Change of patient-reported outcome from baseline, Physician assessed toxicity, Physician assessed toxicity, Physician assessed toxicity, Physician assessed toxicity, Physician assessed toxicity, Physician assessed toxicity"
CI-01022,,50,"Decrease in the scores of the Hospital Anxiety and Depression Scale, Decrease in the scores of the Psychological Consequences Questionnaire"
SamsunU,,1,Sufficient surgical anesthesia
ShandongCHI-18,,5000,"Patients satisfaction：BREAST-Q score"", EORTC QLQ-C30, Health-related quality of life：EORTC QLQ-BR23, Recurrence-free survival"
JWCI OBCS WITH IORT,,30,"Cosmetic Outcomes as evaluated using BREAST-Q questionnaire as a measure of patient-reported ratings., Cosmetic Outcomes as evaluated using the Harvard Breast Cosmesis Grading Scale as a measure of patient-reported ratings., Cosmetic Outcomes as evaluated by clinician completion of the Harvard Breast Cosmesis Grading Scale, Perioperative complications as documented using Common Terminology Criteria for Adverse Events (CTCAE) Version 5.0 (CTCAE.v5) scoring system."
AAAT8915,,59,Difference in Mean Patient-Reported Pain Scores During Sexual Activity
20-513,,72,"Local recurrences, Regional recurrences"
IRB00313835,,196,Diagnostic follow-up rates
HE-202012,,1072,3-year rates of disease-free survival
NCC201804007,,50,Overall Response rates (ORR)
110.01-2016-GES-0001,Change in business strategy,13,Number of Complete Breast Imaging Datasets
PREVENT,,300,"incidence of ""clinically important pain"" at 3 months after surgery"
QL-KPTB-150,,48,"Peak Plasma Concentration (Cmax), Area under the plasma concentration versus time curve (AUC)0-t, Area under the plasma concentration versus time curve (AUC)0-∞"
REaCT-Hot Flashes Pilot,,56,"Patient Engagement (MyChart Accessibility and User Experience), Physician Engagement (MyChart Accessibility and User Experience), Patient Accrual (MyChart Accessibility and User Experience), MyChart Utilization"
IRB00081356,,102,Frequency of pain
VIL-HEQ-17-014,,700,"Results from some questionnaires related to patients QoL, rated from 1 to 10."
COMPLEMENT,,136,Progression-Free Survival (PFS) According to Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST 1.1) as assessed by local investigators
DHLI-BC/OC-BE-001,,80,"Cmax, AUC[0-t], AUC[0-∞]"
GS18/107321,,25,Successful completion of the ePainQ questionnaire
2019-003825-56,,30,Nodal Concordance: proportion of lymph nodes identified by 99mTc-tilmanocept vs nanocolloidal human serum albumin by lymphoscintigraphies
80252,,20,Acute post-surgical complication rate at 3 months following mastectomy and immediate breast reconstruction after NART in the treatment of breast cancer.
Exo-LCR,,30,"CSF protein composition, cytological analysis of the CSF"
MCC-19117,,119,Immunogenicity
EA1181,,2156,Recurrence-free survival (RFS)
PAL-ZJCC-02,,150,"Early Tumor Shrinkage (ETS), Time To Response (TTR)"
GCO 18-1832,,54,"Maximum Tolerated Dose (MTD), Clinical Benefit Rate (CBR)"
DS_v01,,285,Relative dose-intensity (RDI) of the myelosupressive therapy course
T06/024/21,,28,Blood flow
ES,,90,depression score
Study00145121,Study agent no longer available,11,Number of potential participants who consent to enrollment
STU 042018-083,,74,Patient Cosmesis
AcuBreast 2020,,250,Fatigue
4-2020-1093,,200,Cardiotoxicity rate
A012103,,1295,Recurrence-free survival (RFS)
HREBA.CC-22-0128,,65,Change in Fat Volumes
A191901,Intervention supply interruption,1180,Endocrine therapy (ET) adherence at 12 months post-randomization
VICCBRE2257,,120,Progression-free survival (PFS)
HCI69515,,15,[18F]Flutemetamol and [18F]fluoro-2-deoxy-D-glucose (FDG) PET imaging agents and MRI in breast cancer patients with Chemotherapy-Induced Cognitive Impairment (CICI) to check brain changes.
TX05-03E,,338,"Immunogenicity Assessments (ADA and Nab), Disease-Free Survival, Overall Survival"
2019/639,,60,Zarit Burden Interview (ZBI)
GBG 107,,400,"Disease-free survival (DFS), Invasive disease-free survival (iDFS), Distant disease-free survival (DDFS), Locoregional recurrence-free survival (LRRFS), Overall survival (OS), Other primary outcome measures"
CE-MRI&CESM in breast lesions,,50,comparison between accuracy of CESM and CE-MRI in diagnosing breast cancer.
PBCST,,92,The sum of located margin resection widths
NEODOC- 2021668610-221,,320,• Comparison of adequacy rate of tissue sampling of axillary lymph nodes under local anaesthetic with open-tip pulsed needle biopsy (OT-PNB) and conventional 14-gauge core needle core biopsy (CNB)
9785-CL-0018,,24,"Pharmacokinetics (PK) of Digoxin in combination with rosuvastatin in plasma: maximum concentration (Cmax), Pharmacokinetics (PK) of Digoxin in combination with rosuvastatin in plasma: area under the concentration-time curve from the time of dosing to the last measurable concentration (AUClast), Pharmacokinetics (PK) of Digoxin in combination with rosuvastatin in plasma: area under the concentration time curve from the time of dosing extrapolated to time infinity (AUCinf)"
2021-03165,,500,"Validation and reliability of BREAST-Q for Sweden, Validation and reliability of BREAST-Q for Sweden, Validation and reliability of EuroQol-5 dimensions, 3 levels for reconstructive breast surgery, Validation and reliability of EuroQol-5 dimensions, 3 levels for reconstructive breast surgery, Validation and reliability of Hospital Anxiety and Depression scale (HADS) for Reconstructive breast surgery, Validation and reliability of Hospital Anxiety and Depression scale (HADS) for Reconstructive breast surgery, Validation and reliability of RAND-36 for reconstructive breast surgery, Validation and reliability of RAND-36 for reconstructive breast surgery, Validation of Clavion-Dindo classification for reconstructive breast surgery"
IRB202202679,,24,Self-Reported Fatigue
Arise-FJ-B102,,77,Progression-Free Survival (PFS)
453190,,150,Mammographic density
RenJiH-2018-038,,29,Predictive value of CTC in ypT0 ypN0
202110124,,156,Feasibility of recruiting patients social contacts to serve as healthcare facilitators as measured by number of participants enrolled to the study with a social contact that agrees to participate
MCC-21262,,18,Maximum Tolerated Dose of Intrathecal Dendritic Cell Vaccine
18-003544,,3,"CEUS true positive diagnosis, CEUS false positive diagnosis, CEUS true negative diagnosis, CEUS false negative diagnosis"
CKRC2021-CCV,,20,"Change in Scales of Psychological Wellbeing, Change in Meaning in Life Questionnaire, Change in Engagement in Meaningful Activities survey, Change in Purpose Status Question"
BEXMET,,12,"Tumour transcriptome by RNA sequencing, Tumour protein profile by multiplex immunohistochemistry"
PICC One Day 01 (ET15-123),Changes of the standard adjuvant treatment which does not allow an iterative PICC placement,0,Compare complication rate for iterative placement (PICC) versus long term placement (PAC).
IRB00049061,,23,Change in the Sensory Neuropathic Pain Score as Measured by the European Organization of Research and Treatment of Cancer (EORTC) Quality of Life Questionnaire (QLQ)-Chemotherapy-Induced Peripheral Neuropathy (CIPN) 20 Item (20)
CP-13-001,,1000,"Adverse Events (AEs) and Serious Adverse Events (SAEs), Collect MP2.0 data in cohorts of a minimum of 50 subjects to optimize MP2.0 algorithm and procedure."
SOLTI-1710,,22,Complete Cell Cycle Arrest (CCCA)
IJB-SYNERGY-012017,,129,"Phase I:The adverse events (AEs), Phase II: Clinical Benefit of oleclumab in combination with chemotherapy and durvalumab by the comparing the CB rate at 24 weeks from the 1st dose of study drug administration between patients treated with or without the anti-CD73 antibody oleclumab"
IRB00046759,,25,"Incidence of Early Adverse Skin Reactions (EASRs), Change in Quality of Life, Physician Observed Improvement in Skin Appearance, Number of Participants Reported Change in Skin Appearance Using the Dermatology Quality of Life Index Scale"
18947,,31,Fluorescence imaging of sentinel lymph nodes with indocyanine green and methylene blue.
2021-A03027-34,,100,Feasibility of a study proposing a therapeutic education consultation linked to the usual course of care
IRB-44367,,10,Time to full expansion defined as number of days until desired breast tissue expansion volume is achieved
NEPA-17-05,,404,"Number of Participants With Treatment-emergent AEs at Cycle 1, Number of Participants With Treatment-emergent AEs All Cycles, Number of Participants With Severe (i.e., CTCAE Grade ≥3) TEAEs Reported for ≥2% of Patients in Either Treatment Group and Overall Throughout the Study, Number of Participants With Study-Drug-Related TEAEs Reported for ≥2% of Patients in Either Treatment Group Throughout the Study"
SHR6390-III-303,,4350,IDFS（Invasive Disease-Free Survival）
I3Y-MC-B009,,1500,The Incidence of AEs and SAEs
17/222,,3915,"Study 1: Prognostic and predictive histopathologic characteristics, Study 1: Prognostic and predictive histopathologic characteristics, Study 1: Prognostic and predictive histopathologic characteristics, Study 1: Prognostic and predictive histopathologic characteristics, Study 1: Prognostic and predictive histopathologic characteristics, Study 1: Prognostic and predictive histopathologic characteristics, Study 2: Crude and adjusted rate of overdiagnosis, Study 3: Agreement between awareness and knowledge of overdiagnosis"
JCL2020,,20,"Invasive disease-free survival (iDFS), Invasive disease-free survival (iDFS)"
2022-761,,180,Subjective sleep quality (the night of surgery)
19-302,,310,"Compare the Outcomes of the iBE Examinations to Clinical Breast Examinations (CBE)by Estimating the Sensitivity of the Device Using Imaging Results, Compare the Outcomes of the iBE Examinations to Clinical Breast Examinations by Estimating the Specificity of the Device Using Imaging Results"
BFH-BC,,287,local recurrence rate
RT 1901,,80,CTCAE Toxicity Assessement - Acute Toxicity
MC1732,,25,Pathologic Complete Response (pCR) Rate Defined as a Residual Tumor Burden of 0-1 in the Surgical Specimen
ET19-084 - CICA-RT,,248,Comparison of the Cicaderma ointment efficacy versus the standard management of each site in preventing the onset of grade >= 2 radiodermatitis (NCI-CTCAE-V5)
A5481160,,559,"Demographic characteristics at baseline, Clinical and Health Related Characteristics - BMI, Clinical and Health Related Characteristics - chronic diseases, Clinical and Health Related Characteristics - Co-medications, Clinical and Health Related Characteristics - Menopausal status, Clinical and Health Related Characteristics - Cancer History, Clinical and Health Related Characteristics - Testing for germline BRCA mutation, Treatment patterns - Lines of treatment, Treatment Patterns - Index treatment regimen, Treatment Patterns - Dosing, Clinical outcomes for palbociclib - Disease Progression, Clinical Outcomes for Palbociclib - Duration of treatment, Clinical Outcomes for Palbociclib - Time on treatment, Clinical Outcomes for Palbociclib - Time to chemotherapy"
