ID,title,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device
SunYatsenU2H-LQ3,"A Prospective, Phase II Trial Using ctDNA to Initiate Post-operation Boost Therapy After NAC in TNBC",Recruiting,Interventional,"Experimental, Active Comparator, Experimental, No Intervention","Drug, Drug",Parallel Assignment,Phase 2,No,No
BYEC20211201,Albumin-Bound Paclitaxel Combined With Antiangiogenic Agents in First-line Treatment of Relapsed or Metastatic TNBC,Recruiting,Interventional,"Active Comparator, Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No
18-140,Sexual Health and Rehabilitation After Ovarian Suppression Treatment,Completed,Interventional,Experimental,"Behavioral, Behavioral",Single Group Assignment,Not Applicable,No,No
2022-0378,Empowering Vulnerable and Resilient Latinas to Obtain Breast Cancer Care,Recruiting,Interventional,"Other, Other","Other, Other",Parallel Assignment,Not Applicable,No,No
20-221,Reducing Metabolic Dysregulation in Obese Latina Breast Cancer Survivors Using Physical Activity,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
IRB-58571,Analysis of Patient Understanding of Radiation Therapy Among Patients With Breast Cancer,Completed,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
BPI-1178-2019-001,A Study of BPI-1178 in Patients With Advanced Solid Tumor and HR+/HER2- Breast Cancer,Recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",No,No
E-HHC-2016-0245,Adaptive Symptom Care Using Fish-Based Nutritional Directives Post Breast Cancer,Suspended,Interventional,"Experimental, Experimental","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
21656,"A Study to Learn More About How Well Elinzanetant Works and How Safe it is Compared to Placebo for the Treatment of Hot Flashes Caused by Anti-cancer Therapy in Women With, or at High Risk for Developing Hormone-receptor Positive Breast Cancer",Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No
UC-0140/1901,Endocrine Therapy With Abemaciclib or Chemotherapy as Initial Metastatic Treatment in ER+/HER2- Breast Cancer,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No
ACCRU-BR-1801,T-DM1 With or Without Abemaciclib for the Treatment of HER2-Positive Metastatic Breast Cancer,Withdrawn,Interventional,"Active Comparator, Experimental","Drug, Biological",Parallel Assignment,Phase 2,Yes,No
HE072-CSP-002,Study of Irinotecan Liposome Injection in Patients With Advanced Breast Cance,Not yet recruiting,Interventional,"Experimental, Experimental",Drug,Single Group Assignment,Phase 1,No,No
17-00890,Trial of Nivolumab With Chemotherapy as Neoadjuvant Treatment in Inflammatory Breast Cancer (IBC),"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
2020-01,Exercise Therapy During Radiotherapy,Unknown status,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
TransRosaLEE-IPC 2021-075,"Trans-RosaLEE Study: a Biomarker-directed, Translational Study",Not yet recruiting,Interventional,Experimental,"Genetic, Genetic, Genetic, Genetic",Single Group Assignment,Not Applicable,No,No
2000024495,Text Messaging in Patients on Adjuvant Endocrine Therapy for Breast Cancer,"Active, not recruiting",Interventional,"No Intervention, Experimental",Behavioral,Parallel Assignment,Not Applicable,No,No
UMCC 2021.109,Pharmacokinetic Study of Skeletal Muscle Area-based Paclitaxel Infusion in Patients With Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Sequential Assignment,Phase 4,Yes,No
TROIKA,"A Phase III Trial to Compare the Efficacy, Safety and Pharmacokinetics of HD201 to Herceptin® in HER2+ Early Breast Cancer Patients",Completed,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No
HMCC-BR22-001,Alpelisib/iNOS Inhibitor/Nab-paclitaxel in Patients With HER2 Negative Metaplastic Breast Cancer (MpBC),Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
I 1680021,Dendritic Cell-Based Treatment Plus Immunotherapy for the Treatment of Metastatic or Unresectable Triple Negative Breast Cancer,Not yet recruiting,Interventional,Experimental,"Biological, Procedure, Procedure, Procedure, Biological, Other",Single Group Assignment,Phase 2,Yes,No
NCC1692,Anlotinib in Metastatic HER2 Negative Breast Cancer,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
0201263,Hypofractionation And Ultra-Hypofractionation In Adjuvant Radiotherapy For Breast Cancer,Unknown status,Interventional,"Active Comparator, Experimental","Radiation, Radiation",Parallel Assignment,Not Applicable,No,No
19/002,"Evaluating the Efficacy and Safety of Bevacizumab, Carboplatin, Gemcitabine and Atezolizumab in Breast Cancer",Recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No
NCI-2019-06461,"Testing the Addition of an Anti-cancer Drug, Copanlisib, to the Usual Maintenance Treatment (Trastuzumab and Pertuzumab) After Initial Chemotherapy in a Phase Ib/II Trial for Advanced HER2 Positive Breast Cancer",Recruiting,Interventional,"Experimental, Active Comparator","Drug, Biological, Biological",Parallel Assignment,"Phase 1, Phase 2",Yes,No
HNCH-BC001,The TP Regimen in the Treatment of Early Triple Negative Breast Cancer,Completed,Interventional,"Placebo Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 2,No,No
S-169,Complementary and Alternative Medicine on Mental Health in Breast Cancer Patients,Unknown status,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental",Other,Parallel Assignment,Phase 1,No,No
HCI103657,Merestinib on Bone Metastases in Subjects With Breast Cancer,Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
HS627-III,Treatment of Breast Cancer With Trastuzumab + HS627/ Pertuzumab + Docetaxel,Unknown status,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 3,No,No
17782,A Study of Abemaciclib in Indian Women With Advanced Breast Cancer,Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 4,Yes,No
LQ004,Apatinib Combined With Paclitaxel and Carbopatin Intensive Regimen in Neoadjuvant Therapy for Locally Advanced Triple-negative Breast Cancer,Unknown status,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No
2021-A03166-35,Functional Evaluation After Breast Reconstruction With a Minimally Invasive Latissimus Dorsi Flap Following Radical Surgery for Breast Cancer.,Not yet recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
AAAS9859,Medical Imaging and Thermal Treatment for Breast Tumors Using Harmonic Motion Imaging (HMI),Recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
249571,Mini-AFTERc Intervention for Fear of Cancer Recurrence,Unknown status,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
2022/050,Telerehabilitation in Survival Breast Cancer Patients,Recruiting,Interventional,"Experimental, Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
BR01/01/22,Pembrolizumab and ADG106 in Advanced Solid Cancers and Triple Negative Breast Cancer,Not yet recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",No,No
UMCC 2020.122,"Talazoparib in Combination With Belinostat for Metastatic Breast Cancer, Metastatic Castration Resistant Prostate Cancer, and Metastatic Ovarian Cancer",Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,Yes,No
CA048-001,A Study of Multiple Immune and Disease Treatment Combinations in Participants With ER+HER2- Breast Cancer That Has Spread,Completed,Interventional,"Experimental, Experimental, Experimental","Biological, Biological, Drug",Single Group Assignment,Phase 1,Yes,No
NCI-2022-10810,"Testing the Addition of an Anti-cancer Drug, ASTX727 (Cedazuridine, Decitabine), to Chemotherapy (Paclitaxel) and Immunotherapy (Pembrolizumab) for Metastatic Triple-Negative Breast Cancer",Recruiting,Interventional,Experimental,"Procedure, Procedure, Procedure, Drug, Procedure, Drug, Biological",Single Group Assignment,Phase 1,Yes,No
RG1004302,Alpha-TEA and Trastuzumab for the Treatment of Refractory HER2+ Metastatic Breast Cancer,Recruiting,Interventional,Experimental,"Drug, Biological",Single Group Assignment,Phase 1,Yes,No
Pro00100093,A Study to Evaluate Concurrent VRP-HER2 Vaccination and Pembrolizumab for Patients With Breast Cancer,Recruiting,Interventional,"Active Comparator, Active Comparator, Experimental","Biological, Biological",Parallel Assignment,Phase 2,Yes,No
0201-21,Implantation of CEST and CESL MRI Methods for Detection of Breast Tumors,Not yet recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
CORE,Efficacy of Cardio-Oncology Rehabilitation Exercise for Women With Breast Cancer and Treatment Related Cardiotoxicity,Terminated,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
ENZENO-C-101,ER+/HER2- Locally Advanced or Metastatic Breast Cancer (ENZENO Study),Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No
19206,Abemaciclib and Endocrine Therapy in Older Patients With Breast Cancer.,Recruiting,Interventional,Experimental,"Drug, Other",Single Group Assignment,Phase 2,Yes,No
S00748-NIM,Ice Plant Intensive Cream for the Prevention of Hand-Foot Syndrome in Breast Cancer: Pilot Randomized Controlled Trial,Not yet recruiting,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
STUDY00002373,Radioembolization of Metastatic Breast Cancer to the Liver as a 2nd/3rd Line Therapy,Not yet recruiting,Interventional,"Experimental, Active Comparator","Device, Procedure, Other",Parallel Assignment,Phase 2,No,Yes
ATENTO19,Adjusting the Dose of Therapeutic Exercise to Prevent Neurotoxicity Due to Anticancer Treatment (ATENTO),Recruiting,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
SCHBCC-N048,Famitinib in Combination With Camrelizumab and TPC in The First-line Treatment of Immunomodulatory Locally Advanced or Metastatic TNBC.,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No
3-2020-0343,Primary Surgical Prevention of Breast Cancer-related Lymphedema,Not yet recruiting,Interventional,"Experimental, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
KSF2-1707,Follow-up of Sequential Chemotherapy and Stimulation for Fertility Preservation in Young Patients With Breast Cancer,"Active, not recruiting",Interventional,Experimental,"Procedure, Biological, Procedure",Single Group Assignment,Not Applicable,No,No
UW 19-045,Acupuncture for Insomnia in Breast Cancer Patients Undergoing Chemotherapy,Unknown status,Interventional,"Active Comparator, Placebo Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
22-074,A Study of SDX-7320 in Combination With Eribulin for People With Breast Cancer,Recruiting,Interventional,"Experimental, Experimental, Placebo Comparator","Drug, Drug, Other",Sequential Assignment,Phase 2,Yes,No
lithium and breast cancer,Efficacy of Lithium Against Chemotherapy Induced Neutropenia in Breast Cancer Patients,Completed,Interventional,"No Intervention, Experimental",Drug,Parallel Assignment,Phase 3,No,No
18549,Remotivation Process for Improving Adherence to Lymphedema Treatment Programs in Patients With Breast Cancer-Related Lymphedema,"Active, not recruiting",Interventional,Experimental,"Other, Behavioral, Behavioral, Other, Other",Single Group Assignment,Not Applicable,No,No
EGC002,Efficacy and Safety Study of EG12014 Compared With Herceptin in Subjects With HER2 Positive Early Breast Cancer,Completed,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No
Multimodal Project,Multimodal Project,Not yet recruiting,Interventional,"Experimental, No Intervention","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
201710109,Neoantigen DNA Vaccine Alone vs. Neoantigen DNA Vaccine Plus Durvalumab in Triple Negative Breast Cancer Patients Following Standard of Care Therapy,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Biological, Device, Procedure",Parallel Assignment,Phase 1,Yes,No
2016-003518-28,Clinical Benefit of Spa Care on Severe Radiation-induced Fibrosis After Postoperative Radiotherapy for Breast Cancer,Unknown status,Interventional,"Experimental, Active Comparator","Other, Drug, Drug",Parallel Assignment,Phase 3,No,No
BR01/02/19,Phase II Study of FTD/TPI (Lonsurf) in Metastatic Breast Cancers With or Without Prior Exposure to Fluoropyrimidines (LONBRECA),Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",No,No
XJLL-KY20212136,RC48 for Neoadjuvant Chemotherapy of HER2 Positive Breast Cancer,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
2017-073,The Effect of Simvastatin on Breast Cancer Cell Growth in Women With Stage I-II Breast Cancer,"Active, not recruiting",Interventional,Experimental,"Other, Drug",Single Group Assignment,Phase 2,Yes,No
CMUH107-REC3-102,Yoga for Aromatase Inhibitor-related Knee Pain Relief in Breast Cancer Patients,Completed,Interventional,"Active Comparator, Placebo Comparator",Other,Crossover Assignment,Not Applicable,No,No
HBO001,Acute Post-Radiation Hyperbaric Oxygen (HBO2) for Breast Cancer Patients Who Have Recently Completed Radiation Therapy,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Procedure, Drug, Dietary Supplement",Parallel Assignment,Phase 2,Yes,No
RG1718047,"Effect of Pembrolizumab and Cisplatin on Metastatic, Locally Recurrent or Inoperable Triple-Negative Breast Cancer",Withdrawn,Interventional,Experimental,"Biological, Drug",Single Group Assignment,Phase 2,Yes,No
2020-006,Impact of (Neo)Adjuvant Therapy Associating Anthracyclines and Taxanes With or Without Trastuzumab on Skeletal Muscle in Breast Cancer Patients,Completed,Interventional,"Other, Other","Other, Other",Parallel Assignment,Not Applicable,No,No
TX05-03,"Trial to Compare the Safety, Efficacy and Immunogenicity of TX05 With Herceptin® in HER2+ Early Breast Cancer",Completed,Interventional,"Experimental, Active Comparator","Biological, Biological, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No
2016/65,Technique of Per-Operative Radiotherapy (RPO) by Papillon +TM in Localized Breast Cancer,"Active, not recruiting",Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
