ID,title,actual_duration,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device,enrollment_count
2019-40016-06,Vitamin D Can Increase Pathological Response of the Breast Cancer Patients Treated With Neoadjuvant Therapy,580 days,Unknown status,Interventional,"Active Comparator, Other",Drug,Factorial Assignment,Not Applicable,No,No,50
IRB-52869,Umbrella Trial Testing Integrative Subtype-Targeted Therapeutics in HR+ /HER2-Negative Breast Cancer,1352 days,Recruiting,Interventional,"Experimental, Active Comparator, Experimental, Active Comparator, Experimental, Active Comparator, Experimental, Active Comparator, Experimental, Active Comparator, Experimental, Active Comparator, Experimental, Active Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,150
D9266C00001,"A Study of Dato-DXd in Chinese Patients With Advanced Non-Small Cell Lung Cancer, Triple-negative Breast Cancer and Other Solid Tumors (TROPION-PanTumor02)",713 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",No,No,118
2017/78,"Study to Determine the Safety and Efficacy of Ribociclib in Combination With Hormone Therapy and Hypofractionated Radiotherapy in Breast Cancer, With Positive Hormone Receptors and Negative HER2 Status, in Newly Diagnosed, Not Immediately Operable Elderly Patient (CALHYS)",3288 days,Not yet recruiting,Interventional,Experimental,Drug,Sequential Assignment,"Phase 1, Phase 2",No,No,85
ICRG0201,"Prediction of Treatment Efficacy of the Combination of Palbociclib/(Letrozole or Anastrozole) in First Line Metastatic Women With Luminal, HER2 Negative Advanced Breast Cancer, Using Infrared Laser Spectroscopy Analysis on Liquid Biopsies.",1259 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,80
SHR-A1811-III-301,"A Trial of SHR-A1811versus Pyrotinib in Combination With Capecitabine in HER2-Positive, Unresectable and/or Metastatic Breast Cancer Subjects Previously Treated With Trastuzumab and Taxane",886 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 3,No,No,269
IRB-63041,Study Assessing QBS72S For Treating Brain Metastases of Breast Cancer,1446 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,40
U21-02-4401,Systems Biology Guided Therapy for Breast Cancer Positive for Oestrogen Receptor After Aromatase Inhibitor and CDK Inhibition,1423 days,Recruiting,Interventional,,Drug,Single Group Assignment,Phase 2,Yes,No,74
GS-US-592-6173,"Study of Sacituzumab Govitecan-hziy and Pembrolizumab Versus Treatment of Physicians Choice and Pembrolizumab in Patients With Previously Untreated, Locally Advanced Inoperable or Metastatic Triple-Negative Breast Cancer",1652 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,440
SCO-120-19-22,A Study in Patients With Advanced Breast Cancer,591 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No,167
GS-US-592-6238,Study of Sacituzumab Govitecan-hziy Versus Treatment of Physicians Choice in Patients With Previously Untreated Metastatic Triple-Negative Breast Cancer,1746 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,540
CBYL719C2201,Study Assessing the Efficacy and Safety of Treatment With Alpelisib Plus Fulvestrant Versus Placebo Plus Fulvestrant in Chinese Men and Postmenopausal Women With Advanced Breast Cancer,1653 days,Recruiting,Interventional,"Experimental, Placebo Comparator, Experimental","Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,135
TQB3616-III-01,TQB3616 Capsules Plus Fulvestrant Compared to Placebo Plus Fulvestrant in Previously Treated Breast Cancer in Clinical Trail,623 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No,287
19/218,Increasing Access to Breast Cancer Screening Among Immigrants,3547 days,"Active, not recruiting",Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,11355
CHANGEABLE,Combination of HX008 And Niraparib in GErm-line-mutAted Metastatic Breast Cancer,835 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No,37
19-3032.cc,Combined Modality Exercise and Appetite in Breast Cancer Survivors,472 days,Terminated,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,3
SCT200IITNBC,Safety and Efficacy of SCT200 in Patients With Relapsed or Metastatic Triple Receptor Negative Breast Cancer,529 days,Unknown status,Interventional,Experimental,Biological,Single Group Assignment,Phase 2,No,No,30
651,Breast Cancer: Axillary Conservation After Neoadjuvant Chemotherapy in Micro Metastatic Sentinel Lymph Nodes.,2922 days,Recruiting,Interventional,"Experimental, Active Comparator",Procedure,Parallel Assignment,Not Applicable,No,No,850
H3B-6545-J081-103,"Study of H3B-6545 in Japanese Women With Estrogen Receptor (ER)-Positive, Human Epidermal Growth Factor Receptor 2 (HER2)-Negative Breast Cancer",1156 days,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,No,No,33
2019-00174 Neoadj Breast Pilot,"Neoadjuvant Study of Abemaciclib, Durvalumab, and an Aromatase Inhibitor Early Stage Breast Cancer",457 days,Withdrawn,Interventional,Experimental,Drug,Single Group Assignment,Early Phase 1,Yes,No,0
MO40628,A Study to Evaluate Patient Preference and Satisfaction of Subcutaneous Administration of the Fixed-Dose Combination of Pertuzumab and Trastuzumab in Participants With HER2-Positive Early Breast Cancer,1393 days,Completed,Interventional,"Experimental, Experimental","Drug, Drug, Drug",Crossover Assignment,Phase 2,Yes,No,160
NNG17.1,Clinical Trial to Assess Pharmacokinetic Parameters and Safety of NNG-TMAB (Trastuzumab) on Recurrent or Metastatic Breast Cancer Patients.,634 days,Completed,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 1,No,No,50
STUDY00004618,A Patient Reminder and Self-Referral Via Online Patient Portals and Text Messaging to Improve Adherence to Breast Cancer Screening,207 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Other, Behavioral, Other, Other, Other",Parallel Assignment,Not Applicable,No,No,140
19959,Effects of Computer-Assisted Cognitive Rehabilitation Programs With Breast Cancer Survivors,730 days,Unknown status,Interventional,"Active Comparator, Experimental",Behavioral,Parallel Assignment,Not Applicable,No,No,52
AIPAC-003,Study in Metastatic Breast Cancer Patients Receiving Eftilagimod Alpha or Placebo in Combination With Paclitaxel Chemotherapy,1594 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Placebo Comparator","Biological, Drug, Other",Parallel Assignment,"Phase 2, Phase 3",Yes,No,849
18-1068,Clinician Communication About Sexual Health,248 days,Completed,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,32
SuleymanDU-SALMAN-F-001,The Effect of Mobile Application-based Information About Before and After Surgery,151 days,Completed,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,82
IIBSP-SIL-2017-70,Evaluation of a New Technique to Fill the Defect Generated After Conservative Surgery in Breast Cancer,895 days,Completed,Interventional,"Experimental, Active Comparator","Device, Procedure",Parallel Assignment,Not Applicable,No,No,100
Shoulder exercise cancer,Limited Versus No-limited Shoulder Movement in Breast Cancer Surgery,322 days,Completed,Interventional,"Experimental, Active Comparator",Other,Parallel Assignment,Not Applicable,No,No,465
NCI-2022-00004,Testing an Omega-3 Fatty Acid-Based Anti-Cancer Therapy for Patients With Triple-Negative Inflammatory Breast Cancer That Has Spread to Other Parts of the Body,1558 days,Recruiting,Interventional,Experimental,"Drug, Dietary Supplement",Single Group Assignment,"Phase 1, Phase 2",Yes,No,18
GC-627-05,Neulasta-controlled Trial of F-627 in Women With Breast Cancer Receiving Myelotoxic Chemotherapy,693 days,Completed,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No,393
LCCC 2104,Comparison of Adjuvant Monotherapy With Endocrine Therapy or Accelerated Partial Breast Irradiation Following Lumpectomy for Low Risk Breast Cancer Patients Over 65 (CAMERAN),1096 days,Recruiting,Interventional,"Active Comparator, Experimental","Radiation, Drug",Parallel Assignment,Phase 2,Yes,Yes,90
2021SQGH00743,The Efficacy and Safety of Anlotinib Combined With Fulvestrant in Patients With Advanced Breast Cancer,1825 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,40
N21CPB-IRBd22-103,Communication in Breast Cancer Care,209 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental",Behavioral,Parallel Assignment,Not Applicable,No,No,40
UPNA-CUMACA-B2022,Web-based Intervention for Long-term Breast Cancer Survivors,517 days,Not yet recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,182
rosuva2020,Possible Protective Effect of Rosuvastatin in Chemotherapy-induced Cardiotoxicity in HER2 Positive Breast Cancer Patients,1095 days,Recruiting,Interventional,"No Intervention, Active Comparator",Drug,Parallel Assignment,Phase 3,No,No,50
213831,Efficacy and Safety Comparison of Niraparib to Placebo in Participants With Human Epidermal Growth Factor 2 Negative (HER2-) Breast Cancer Susceptibility Gene Mutation (BRCAmut) or Triple-Negative Breast Cancer (TNBC) With Molecular Disease,2983 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 3,Yes,No,800
Pro00109917,Noninvasive Assessment of Lymphedema Among Breast Cancer Survivors,432 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes,30
GCO 17-2320,Durvalumab and Eribulin in Her2-negative Metastatic Breast Cancer and Recurrent Ovarian Cancer,634 days,Completed,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,Yes,No,9
MA-BC-II-025,Compare Continuation of Original Targeted Therapy With Trastuzumab Combined With Pyrotinib and Capecitabine as Postoperative Adjuvant Therapy in Non-pCR Patients With HER2 Positive Early Breast Cancer,2373 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No,206
CPO-NBP-2002,NBP in Women With Metastatic Breast Cancer to Prevent Nab-paclitaxel Induced Toxic Neuropathy,580 days,Not yet recruiting,Interventional,"Placebo Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No,60
INT/2020/VOICE,"Implementation, Effectiveness and Impact of a Value Based Intervention for Patients With Breast or Lung Cancer",1641 days,"Active, not recruiting",Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,1161
N assisted,A Clinical Study on Hormone Receptor Positive HER2 Positive Breast Cancer of RCB1-2 After Neoadjuvant Treatment With Trastuzumab Combined With Parezumab,2085 days,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 3,No,No,300
SYSKY-2022-024-01,Construction and Effect Evaluation of Malignant Fungating Wounds Care Regimen for Breast Cancer Patients,767 days,Recruiting,Interventional,Experimental,Procedure,Sequential Assignment,Not Applicable,No,No,50
PROSOM-K,Study of the Functioning of Prospective Memory in Breast Cancer and the Influence of Sleep,791 days,Completed,Interventional,"Other, Other, Other","Other, Drug",Parallel Assignment,Not Applicable,No,No,75
NL62441.068.17,PET-MRI for Axillary Staging in Node Negative Breast Cancer Patients,2108 days,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,125
EP0062-101,Phase 1/2 Study to Evaluate EP0062 in Patients With Relapsed Locally Advanced or Metastatic Androgen Receptor Positive (AR+)/HER2-/ER+ Breast Cancer,821 days,Not yet recruiting,Interventional,"Experimental, Experimental",Drug,Sequential Assignment,"Phase 1, Phase 2",Yes,No,128
KY2022-044-B,"CTCs in Breast Cancer After Neoadjuvant Treatment and Surgery: a Multicenter, Prospective Clinical Trial",2452 days,Recruiting,Interventional,"Active Comparator, Other",Device,Parallel Assignment,Not Applicable,No,No,484
SUGBG-2021001,Sentinel Node Localization and Staging With Low Dose Superparamagnetic Iron Oxide,911 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",No,No,50
PI2018_843_0061,Feasibility of Total Mastectomy in Ambulatory Care,1155 days,Recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,50
2110244-11,Comparison of Dexamethasone Alone vs in Combination With Pericardium 6 (P6) Electrical Stimulation or Granisetron in the Prevention of Postoperative Nausea and Vomiting in Patients Undergoing Breast Cancer Surgery,547 days,Recruiting,Interventional,"Experimental, Sham Comparator, Sham Comparator",Device,Parallel Assignment,Phase 4,No,No,186
HSM/VGH-2019-12-009CC,Web-based Oncofertility Support Tool for Reproductive-age Women With Breast Cancer,582 days,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,54
2021-A01550-41,Evaluation of the Impact of Taking American Ginseng for 8 Weeks on Fatigue in Patients Treated for Localized Breast Cancer,1070 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Dietary Supplement, Dietary Supplement",Parallel Assignment,Not Applicable,No,No,354
2449PT,Effect of Exercise Mode in Breast Cancer-Related Lymphedema,476 days,Completed,Interventional,"Experimental, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No,52
20220430GD,Neoadjuvant Camrelizumab and Fluzoparib and Nab-paclitaxel in Early Breast Cancer With HRR Gene Mutation,2431 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No,66
StrataXRT,A Study of StrataXRT in the Prevention of Radiation Dermatitis in Breast Cancer Patients,260 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,50
TQB3909-Ib/II-01,A Clinical Trial of TQB3909 Tablets in Patients With Breast Cancer,274 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",No,No,65
"S-20200021, 19-16321",An Individualised Treatment vs. a Minimal Program in Women With Late-term Shoulder Impairments After Breast Cancer.,189 days,Completed,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,31
Exo-LCR-1807,Analyses of Exosomes in the Cerebrospinal Fluid for Breast Cancer Patients With Suspicion of Leptomeningeal Metastasis.,1553 days,Withdrawn,Interventional,Experimental,"Procedure, Procedure, Procedure",Single Group Assignment,Not Applicable,No,No,0
AGO/2019/003,Dynamics and Tracer Distribution of Tilmanocept in Early Stage Breast Cancer,158 days,Withdrawn,Interventional,"Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 4,No,No,0
C4891016,A Study to Learn About the ARV-471 (PF-07850327) in People With ER+/HER2- Locally Advanced or Metastatic Breast Cancer (BC),246 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,6
MCC-19220,PET-CT Imaging Using FDG-labeled Human Erythrocytes in Breast Cancer Patient,730 days,Withdrawn,Interventional,Experimental,"Diagnostic Test, Biological, Diagnostic Test",Single Group Assignment,Early Phase 1,Yes,No,0
2020-A01916-33,Adapted Fencing in Breast Cancer: a Pilot Study,356 days,Recruiting,Interventional,"Experimental, Experimental",Other,Parallel Assignment,Not Applicable,No,No,24
