ID,Study_Type,Arm_Group_Type,Intervention_Type,Interventional_Study_Model,Observational_Study_Model,Target_Duration,Sampling_Method,Phase
1028595,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
QoLMa,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
CTPR-0015,Interventional,Other,Radiation,Single Group Assignment,,,,Not Applicable
FZPL-Ib-105,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
TDM of TAM,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
STUDY20110029,Interventional,Experimental,Device,Single Group Assignment,,,,Phase 4
ECP 250 - 15/16,Interventional,Experimental,Drug,Parallel Assignment,,,,Early Phase 1
CTR20220630,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2022-001,Observational,,Other,,Cohort,,Probability Sample,
REC 22/WA/0164,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
2019DEPO-TRIGGER001,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
OSU-16288,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
20.478.486,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
829400,Observational,,,,Other,,Non-Probability Sample,
J16146,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
2022-A02337-36,Interventional,No Intervention,Other,Crossover Assignment,,,,Not Applicable
STUDY00001721,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
H19017,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
1100903,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
LAAVA2,Interventional,Active Comparator,Device,Crossover Assignment,,,,Not Applicable
BXu-1839,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
NABP201801,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
RG1121642,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
C-plus-Pairs,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
46.20 PAR ComEt CBM,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
URomLS_4,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
012418QM,Interventional,Other,Drug,Parallel Assignment,,,,Phase 2
R_ReLoCC,Observational,,,,Cohort,5 Years,Non-Probability Sample,
2020466,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SYM011,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2021-0031,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
16-0040-02,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
X4P-001-201,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
2022-008,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
2017-0479,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
SYSU-2022-01,Interventional,Experimental,Drug,Parallel Assignment,,,,Not Applicable
SAKK 21/18,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
HelouEl,Observational,,Procedure,,Cohort,1 Day,Non-Probability Sample,
2018/827,Observational,,,,Cohort,,Non-Probability Sample,
RWS-PEGCSF,Observational,,Drug,,Cohort,,Non-Probability Sample,
736-19,Interventional,Active Comparator,Behavioral,Factorial Assignment,,,,Not Applicable
198411013011,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
AP1907-50101,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
YOUNGBC-13,Observational,,Drug,,Cohort,,Non-Probability Sample,
2021-19,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
A5481170,Observational,,Drug,,Cohort,,Non-Probability Sample,
RLY-5836-101,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
BRI-ROL-001,Interventional,Experimental,Biological,Single Group Assignment,,,,"Phase 1, Phase 2"
RP-PG-1214-20016,Interventional,Experimental,Other,Sequential Assignment,,,,Not Applicable
220287,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
PI17/01687,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
BCP-25,Interventional,Experimental,Device,Parallel Assignment,,,,Phase 3
20210312/2,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
2018-1518,Interventional,Experimental,Behavioral,Crossover Assignment,,,,Not Applicable
EUBREAST-4,Observational,,,,Cohort,,Probability Sample,
UCI 18-79 [HS# 2020-5660],Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ePOST,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
URCC16070,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
Shengjing-LJY06,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
Pro00105104,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
202210064DIPD,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
PERT.21.001,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 3
HCI140278,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
MedOPP068,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
69HCL17_0480,Observational,,Other,,Other,,Non-Probability Sample,
KCT003,Interventional,Experimental,Device,Crossover Assignment,,,,Not Applicable
SILMET_0107665,Interventional,Experimental,Dietary Supplement,Parallel Assignment,,,,Not Applicable
S-20180134,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
241379,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
A5481158,Observational,,Drug,,Cohort,,Non-Probability Sample,
2021/270,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
EUBREAST-11R,Observational,,Procedure,,Cohort,,Non-Probability Sample,
202109031MIPD,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
00048814,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
JD-LK-2022-136-01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2017/12-SBO-GHMG,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
WSG-NIS04 / PROOFS,Observational,,,,Cohort,10 Years,Non-Probability Sample,
LYT-100-2020-01,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
SCHBCC-N023,Observational,,Procedure,,Cohort,24 Months,Non-Probability Sample,
2017-0328,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
2179 CE,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
Pro00117242,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
MC1937,Observational,,Procedure,,Case-Only,,Non-Probability Sample,
2018-A03054-51,Observational,,Other,,Cohort,,Non-Probability Sample,
US-003,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
7119-002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
21-169,Interventional,Experimental,Device,Parallel Assignment,,,,Phase 2
2018-002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
12345,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
GLSI-21-01,Interventional,Placebo Comparator,Biological,Parallel Assignment,,,,Phase 3
A221702,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
22-006606,Interventional,Experimental,Device,Single Group Assignment,,,,Early Phase 1
CAPRICE,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
CT/2019/CANFLAX,Interventional,Experimental,Dietary Supplement,Parallel Assignment,,,,Not Applicable
20-754,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
URomLS-2019,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
2021-01-075,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
mavis20023,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
HiFi-APBI,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
Self-compassion FCR,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
20-010751,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
IJB-BC-TDM1BM-2016,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
1B-15-6,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
P018,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
QUILT 2021-1,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
2020-10/850,Observational,,Diagnostic Test,,Other,8 Months,Probability Sample,
IEO 0758/,Observational,,Procedure,,Case-Only,,Non-Probability Sample,
MC18C1,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
GN19ON381,Observational,,,,Case-Control,,Probability Sample,
CBYL719H12301,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
2021/03,Observational,,Other,,Cohort,,Non-Probability Sample,
WSG-AM11,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
2018-0528,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
1024489,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
OBI-822-011,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 3
CCR 5006,Observational,,,,Case-Control,,Probability Sample,
ICO-N-2018-12,Observational,,Other,,Cohort,,Non-Probability Sample,
20180349,Observational,,,,Cohort,,Non-Probability Sample,
MSCW2019,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
H-18016600,Observational,,,,Cohort,,Non-Probability Sample,
2020-12-044-012,Interventional,No Intervention,Device,Parallel Assignment,,,,Not Applicable
IJB-PRINTEMPS-2022,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
NIS07075,Observational,,Drug,,Cohort,,Non-Probability Sample,
HNCH-BC009,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
c5ZTCN100,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
CRO-2019-26,Interventional,Experimental,Drug,Parallel Assignment,,,,Not Applicable
YM111146EF,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
AP2205-5015,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
LCCC1921,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
182113,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
EC /2018/0996,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
ICO_UCC_202001,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
19-008929,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
2018-172,Observational,,Dietary Supplement,,Case-Only,,Non-Probability Sample,
19-578,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
Ref. 070/2018,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
2021-04031,Interventional,No Intervention,Other,Parallel Assignment,,,,Not Applicable
A211601,Observational,,Procedure,,Cohort,,Non-Probability Sample,
PSCI 21-045,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
22-4004,Observational,,Other,,Cohort,1 Year,Non-Probability Sample,
AC-TMSQ-2018,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
STU-2019-0769,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
R-2021-3203-005,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
CD07_TNBC,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
F16J16000620002,Interventional,Active Comparator,Diagnostic Test,Parallel Assignment,,,,Not Applicable
NUR20-0124CRYO,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
32551/09/2018,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,Phase 4
AAAS3402,Observational,,Device,,Cohort,,Probability Sample,
2017-1535,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
HUM00208684,Observational,,Drug,,Cohort,,Non-Probability Sample,
12341234,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
Mepitel RCT,Interventional,Experimental,Device,Parallel Assignment,,,,Phase 3
ShandongCHI-07,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
D8532C00005,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
CADEX-0001,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
ELIPSE (SOLTI-1905),Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
VI-ISRP-026,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
5652-18-SMC,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
İboelif22,Observational,,,,Case-Control,,Non-Probability Sample,
FEMAL,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
20-30638,Interventional,Experimental,Drug,Crossover Assignment,,,,Phase 1
R.20.11.1099,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
IRB00074154,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
SMC 2021-05-045,Observational,,Radiation,,Cohort,2 Years,Non-Probability Sample,
CI-01022,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
SamsunU,Observational,,Other,,Cohort,1 Year,Probability Sample,
ShandongCHI-18,Observational,,Procedure,,Cohort,,Non-Probability Sample,
JWCI OBCS WITH IORT,Interventional,Other,Radiation,Single Group Assignment,,,,Not Applicable
AAAT8915,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
20-513,Interventional,Experimental,Radiation,Single Group Assignment,,,,Early Phase 1
IRB00313835,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
HE-202012,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
NCC201804007,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
110.01-2016-GES-0001,Observational,,Device,,Cohort,30 Months,Non-Probability Sample,
PREVENT,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
QL-KPTB-150,Interventional,Active Comparator,Drug,Crossover Assignment,,,,Phase 1
REaCT-Hot Flashes Pilot,Interventional,Other,Other,Single Group Assignment,,,,Phase 4
IRB00081356,Observational,,Drug,,Cohort,,Probability Sample,
VIL-HEQ-17-014,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
COMPLEMENT,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
DHLI-BC/OC-BE-001,Interventional,Active Comparator,Drug,Crossover Assignment,,,,Phase 1
GS18/107321,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
2019-003825-56,Interventional,Other,Drug,Single Group Assignment,,,,Phase 4
80252,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
Exo-LCR,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
MCC-19117,Interventional,Active Comparator,Biological,Parallel Assignment,,,,Phase 2
EA1181,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
PAL-ZJCC-02,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
GCO 18-1832,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
DS_v01,Observational,,Drug,,Cohort,,Probability Sample,
T06/024/21,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
ES,Interventional,Experimental,Drug,Parallel Assignment,,,,Not Applicable
Study00145121,Interventional,Experimental,Drug,Parallel Assignment,,,,Early Phase 1
STU 042018-083,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
AcuBreast 2020,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
4-2020-1093,Observational,,Procedure,,Cohort,,Probability Sample,
A012103,Interventional,Active Comparator,Biological,Parallel Assignment,,,,Phase 3
HREBA.CC-22-0128,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
A191901,Interventional,Experimental,Other,Parallel Assignment,,,,Phase 3
VICCBRE2257,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Phase 2
HCI69515,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
TX05-03E,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 3
2019/639,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
GBG 107,Observational,,,,Cohort,10 Years,Probability Sample,
CE-MRI&CESM in breast lesions,Observational,,Device,,Case-Only,,Non-Probability Sample,
PBCST,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
NEODOC- 2021668610-221,Interventional,Active Comparator,Device,Parallel Assignment,,,,Not Applicable
9785-CL-0018,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
2021-03165,Observational,,Procedure,,Cohort,,Non-Probability Sample,
IRB202202679,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
